date,cases,deaths
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,2,0.0
2020-04-07,3,0.0
2020-04-08,4,0.0
2020-04-09,4,0.0
2020-04-10,6,0.0
2020-04-11,6,0.0
2020-04-12,7,0.0
2020-04-13,7,0.0
2020-04-14,7,0.0
2020-04-15,7,0.0
2020-04-16,8,0.0
2020-04-17,10,0.0
2020-04-18,11,0.0
2020-04-19,12,0.0
2020-04-20,15,0.0
2020-04-21,19,0.0
2020-04-22,20,0.0
2020-04-23,28,0.0
2020-04-24,31,0.0
2020-04-25,36,0.0
2020-04-26,46,0.0
2020-04-27,54,0.0
2020-04-28,57,0.0
2020-04-29,65,0.0
2020-04-30,69,0.0
2020-05-01,69,0.0
2020-05-02,73,0.0
2020-05-03,73,0.0
2020-05-04,77,0.0
2020-05-05,77,0.0
2020-05-06,83,0.0
2020-05-07,89,0.0
2020-05-08,89,0.0
2020-05-09,95,0.0
2020-05-10,97,0.0
2020-05-11,98,0.0
2020-05-12,99,1.0
2020-05-13,102,1.0
2020-05-14,105,0.0
2020-05-15,105,0.0
2020-05-16,107,0.0
2020-05-17,109,0.0
2020-05-18,111,0.0
2020-05-19,116,0.0
2020-05-20,117,0.0
2020-05-21,123,0.0
2020-05-22,126,0.0
2020-05-23,134,0.0
2020-05-24,135,0.0
2020-05-25,137,0.0
2020-05-26,139,0.0
2020-05-27,145,0.0
2020-05-28,148,0.0
2020-05-29,147,0.0
2020-05-30,149,0.0
2020-05-31,153,0.0
2020-06-01,155,0.0
2020-06-02,156,1.0
2020-06-03,157,1.0
2020-06-04,158,1.0
2020-06-05,159,1.0
2020-06-06,160,1.0
2020-06-07,160,1.0
2020-06-08,160,1.0
2020-06-09,161,1.0
2020-06-10,166,1.0
2020-06-11,167,1.0
2020-06-12,169,1.0
2020-06-13,168,1.0
2020-06-14,168,1.0
2020-06-15,170,1.0
2020-06-16,172,2.0
2020-06-17,176,2.0
2020-06-18,175,2.0
2020-06-19,177,2.0
2020-06-20,177,2.0
2020-06-21,178,2.0
2020-06-22,178,2.0
2020-06-23,176,2.0
2020-06-24,180,2.0
2020-06-25,181,2.0
2020-06-26,181,2.0
